,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
E3.fcs,16140,1274,1,D,2,0,1,4,D20,1
E4.fcs,14461,605,1,D,2,0,2,4,D20,1
E5.fcs,8485,1828,1,D,3,0,1,4,D30,1
E6.fcs,11269,575,1,D,3,0,2,4,D30,1
E7.fcs,10832,720,1,D,4,0,1,4,D40,1
E8.fcs,11772,485,1,D,4,0,2,4,D40,1
E9.fcs,9868,283,1,D,5,0,1,4,D50,1
E10.fcs,10495,290,1,D,5,0,2,4,D50,1
E11.fcs,12046,296,1,D,6,0,1,4,D60,1
E12.fcs,9005,1239,1,D,6,0,2,4,D60,1
B1.fcs,8612,415,2,A,1,1,1,4,A11,2
B2.fcs,9142,615,2,A,1,1,2,4,A11,2
B3.fcs,9098,346,2,A,2,1,1,4,A21,2
B4.fcs,3927,891,2,A,2,1,2,4,A21,2
B5.fcs,7609,1561,2,A,3,1,1,4,A31,2
B6.fcs,8722,404,2,A,3,1,2,4,A31,2
B7.fcs,8655,1364,2,A,4,1,1,4,A41,2
B8.fcs,9313,548,2,A,4,1,2,4,A41,2
B9.fcs,6022,187,2,A,5,1,1,4,A51,2
B10.fcs,7328,249,2,A,5,1,2,4,A51,2
B11.fcs,7394,1006,2,A,6,1,1,4,A61,2
B12.fcs,8479,246,2,A,6,1,2,4,A61,2
C1.fcs,8926,405,2,B,1,1,1,4,B11,2
C2.fcs,2150,222,2,B,1,1,2,4,B11,2
C3.fcs,6367,2243,2,B,2,1,1,4,B21,2
C4.fcs,8658,373,2,B,2,1,2,4,B21,2
C5.fcs,10415,364,2,B,3,1,1,4,B31,2
C6.fcs,8674,341,2,B,3,1,2,4,B31,2
C7.fcs,9619,286,2,B,4,1,1,4,B41,2
C8.fcs,8501,251,2,B,4,1,2,4,B41,2
C9.fcs,5923,1583,2,B,5,1,1,4,B51,2
C10.fcs,7492,1087,2,B,5,1,2,4,B51,2
D1.fcs,7258,2394,2,C,1,1,1,4,C11,2
D2.fcs,8707,304,2,C,1,1,2,4,C11,2
D3.fcs,8842,389,2,C,2,1,1,4,C21,2
D4.fcs,6005,2236,2,C,2,1,2,4,C21,2
D5.fcs,7939,1103,2,C,3,1,1,4,C31,2
D6.fcs,9211,409,2,C,3,1,2,4,C31,2
D7.fcs,10180,447,2,C,4,1,1,4,C41,2
D8.fcs,8938,529,2,C,4,1,2,4,C41,2
D9.fcs,7332,776,2,C,5,1,2,4,C51,2
D10.fcs,7299,715,2,C,6,1,1,4,C61,2
D11.fcs,6098,558,2,C,6,1,2,4,C61,2
D12.fcs,9121,249,2,D,1,1,1,4,D11,2
E1.fcs,9873,382,2,D,1,1,2,4,D11,2
E2.fcs,10154,436,2,D,2,1,1,4,D21,2
E3.fcs,7443,302,2,D,2,1,2,4,D21,2
E4.fcs,7074,259,2,D,3,1,1,4,D31,2
E5.fcs,8866,1023,2,D,3,1,2,4,D31,2
E6.fcs,9586,476,2,D,4,1,1,4,D41,2
E7.fcs,8112,547,2,D,4,1,2,4,D41,2
E8.fcs,9615,454,2,D,6,1,1,4,D61,2
E9.fcs,3777,391,2,D,6,1,2,4,D61,2
B1.fcs,10670,735,1,A,1,0,2,6,A10,1
B2.fcs,9646,886,1,A,1,0,1,6,A10,1
B3.fcs,11177,1456,1,A,2,0,1,6,A20,1
B4.fcs,8671,1979,1,A,2,0,2,6,A20,1
B5.fcs,13591,872,1,A,3,0,1,6,A30,1
B6.fcs,15410,1504,1,A,3,0,2,6,A30,1
B7.fcs,11159,2637,1,A,4,0,1,6,A40,1
B8.fcs,16754,1657,1,A,4,0,2,6,A40,1
B9.fcs,11430,1870,1,A,5,0,1,6,A50,1
B10.fcs,11403,1122,1,A,5,0,2,6,A50,1
B11.fcs,9341,901,1,A,6,0,1,6,A60,1
B12.fcs,11095,1128,1,A,6,0,2,6,A60,1
C1.fcs,9655,3762,1,B,1,0,1,6,B10,1
C2.fcs,10388,1591,1,B,1,0,2,6,B10,1
C3.fcs,12811,1029,1,B,2,0,1,6,B20,1
C4.fcs,11483,834,1,B,2,0,2,6,B20,1
C5.fcs,12402,2103,1,B,3,0,1,6,B30,1
C6.fcs,13330,955,1,B,3,0,2,6,B30,1
C7.fcs,12518,1126,1,B,4,0,1,6,B40,1
C8.fcs,10899,781,1,B,4,0,2,6,B40,1
C9.fcs,9554,662,1,B,5,0,1,6,B50,1
C10.fcs,9514,676,1,B,5,0,2,6,B50,1
C11.fcs,5304,767,1,B,6,0,1,6,B60,1
C12.fcs,5938,639,1,B,6,0,2,6,B60,1
D1.fcs,20562,1982,1,C,1,0,1,6,C10,1
D2.fcs,13818,1282,1,C,1,0,2,6,C10,1
D3.fcs,16232,3325,1,C,2,0,1,6,C20,1
D4.fcs,12953,3235,1,C,2,0,2,6,C20,1
D5.fcs,11528,4568,1,C,3,0,1,6,C30,1
D6.fcs,10955,3205,1,C,3,0,2,6,C30,1
D8.fcs,16478,1235,1,C,4,0,2,6,C40,1
D9.fcs,11367,849,1,C,5,0,1,6,C50,1
D10.fcs,12071,631,1,C,5,0,2,6,C50,1
D11.fcs,13457,788,1,C,6,0,1,6,C60,1
D12.fcs,10593,594,1,C,6,0,2,6,C60,1
E1.fcs,14668,1785,1,D,1,0,1,6,D10,1
E2.fcs,14652,2392,1,D,1,0,2,6,D10,1
E3.fcs,21545,1534,1,D,2,0,1,6,D20,1
E4.fcs,12622,867,1,D,2,0,2,6,D20,1
E6.fcs,10438,1176,1,D,3,0,2,6,D30,1
E7.fcs,16929,1973,1,D,4,0,1,6,D40,1
E8.fcs,16986,974,1,D,4,0,2,6,D40,1
E9.fcs,19711,2528,1,D,5,0,1,6,D50,1
E10.fcs,13207,793,1,D,5,0,2,6,D50,1
E11.fcs,18472,815,1,D,6,0,1,6,D60,1
E12.fcs,18103,1769,1,D,6,0,2,6,D60,1
B1.fcs,9914,721,2,A,1,1,1,6,A11,1
B2.fcs,9469,554,2,A,1,1,2,6,A11,1
B3.fcs,12710,809,2,A,2,1,1,6,A21,1
B4.fcs,8981,1475,2,A,2,1,2,6,A21,1
B5.fcs,9780,613,2,A,3,1,1,6,A31,1
B6.fcs,10875,737,2,A,3,1,2,6,A31,1
B7.fcs,13940,4577,2,A,4,1,1,6,A41,1
B8.fcs,14580,1314,2,A,4,1,2,6,A41,1
B9.fcs,8975,3536,2,A,5,1,1,6,A51,1
B10.fcs,8332,1800,2,A,5,1,2,6,A51,1
B11.fcs,9215,1598,2,A,6,1,1,6,A61,1
B12.fcs,11658,1591,2,A,6,1,2,6,A61,1
C1.fcs,9985,819,2,B,1,1,1,6,B11,1
C2.fcs,10846,859,2,B,1,1,2,6,B11,1
C3.fcs,10793,823,2,B,2,1,1,6,B21,1
C4.fcs,8773,2552,2,B,2,1,2,6,B21,1
C5.fcs,10527,1033,2,B,3,1,1,6,B31,1
C6.fcs,14247,1460,2,B,3,1,2,6,B31,1
C7.fcs,13413,1295,2,B,4,1,1,6,B41,1
C8.fcs,15190,1377,2,B,4,1,2,6,B41,1
C9.fcs,14373,1220,2,B,5,1,1,6,B51,1
C10.fcs,9601,1418,2,B,5,1,2,6,B51,1
D1.fcs,10793,884,2,C,1,1,1,6,C11,1
D2.fcs,13794,1668,2,C,1,1,2,6,C11,1
D3.fcs,14285,1346,2,C,2,1,1,6,C21,1
D4.fcs,11537,1229,2,C,2,1,2,6,C21,1
D5.fcs,14162,2771,2,C,3,1,1,6,C31,1
D6.fcs,15467,1199,2,C,3,1,2,6,C31,1
